Bestand;Pad;Categorie;Subcategorie;AantalTekens;AantalRegels;Status;Prioriteit;Notities
trainers.h;src\data\trainers.h;Trainers;;361212;10372;Onvertaald;Hoog;
trainer_hill.h;src\data\battle_frontier\trainer_hill.h;Trainers;;279068;4821;Onvertaald;Hoog;
items.h;src\data\items.h;Items;;259640;9660;Onvertaald;Hoog;
pokemon.h;src\data\graphics\pokemon.h;Pokemon;;243660;3164;Onvertaald;Hoog;
battle_tent.h;src\data\battle_frontier\battle_tent.h;Battle;;178993;4138;Onvertaald;Hoog;Enkel namen te vertalen
battle_frontier_trainers.h;src\data\battle_frontier\battle_frontier_trainers.h;Trainers;;165483;2563;Onvertaald;Hoog;Enkel namen te vertalen
trainers.inc;data\text\trainers.inc;Trainers;;134564;4781;Onvertaald;Hoog;
pokedex_entries.h;src\data\pokemon\pokedex_entries.h;Pokemon;;124490;5233;Onvertaald;Hoog;
tv.inc;data\text\tv.inc;UI;;105668;2997;Onvertaald;Hoog;
match_call.inc;data\text\match_call.inc;UI;;100089;2954;Onvertaald;Hoog;Deze is echt groot
pokedex_text.h;src\data\pokemon\pokedex_text.h;Pokemon;;93657;2566;Onvertaald;Hoog;Deze is echt groot
apprentice.inc;data\text\apprentice.inc;UI;;89267;2527;Onvertaald;Hoog;
contest_opponents.h;src\data\contest_opponents.h;Overig;;87111;3011;Onvertaald;Hoog;
unused_anims.h;src\data\pokemon_graphics\unused_anims.h;Pokemon;;75517;1827;Onvertaald;Hoog;
scripts.inc;data\maps\BattleFrontier_BattleTowerMultiPartnerRoom\scripts.inc;Battle;;66874;1808;Onvertaald;Hoog;
easy_chat_words_by_letter.h;src\data\easy_chat\easy_chat_words_by_letter.h;Overig;;66832;2785;Onvertaald;Hoog;
battle_anim.h;src\data\battle_anim.h;Battle;;62725;1638;Onvertaald;Hoog;
scripts.inc;data\maps\PetalburgCity_Gym\scripts.inc;Maps;PetalburgCity;59178;1710;Vertaald;Hoog;
contest_hall.inc;data\scripts\contest_hall.inc;Overig;;58674;1801;Onvertaald;Hoog;
move_descriptions.h;src\data\text\move_descriptions.h;Moves;;58673;1842;Onvertaald;Hoog;
scripts.inc;data\maps\BattleFrontier_BattleTowerLobby\scripts.inc;Battle;;58509;1402;Onvertaald;Hoog;
union_room.h;src\data\union_room.h;Overig;;55017;1115;Onvertaald;Hoog;Optional, je kan de nicknames van opponents gek maken
scripts.inc;data\maps\SootopolisCity\scripts.inc;Maps;SootopolisCity;51047;1729;Onvertaald;Hoog;
level_up_learnset_pointers.h;src\data\pokemon\level_up_learnset_pointers.h;Pokemon;;50645;933;Onvertaald;Hoog;
items.h;src\data\graphics\items.h;Items;;48440;759;Onvertaald;Hoog;
apprentice.h;src\data\battle_frontier\apprentice.h;Battle;;46924;995;Onvertaald;Hoog;
event_scripts.s;data\event_scripts.s;Events;;46718;1153;Onvertaald;Hoog;
cable_club.inc;data\scripts\cable_club.inc;Overig;;46383;1422;Onvertaald;Hoog;
credits.h;src\data\credits.h;Overig;;45955;787;Onvertaald;Hoog;
scripts.inc;data\maps\LittlerootTown_ProfessorBirchsLab\scripts.inc;Maps;LittlerootTown;45291;1114;Vertaald;Hoog;
object_event_graphics_info_pointers.h;src\data\object_events\object_event_graphics_info_pointers.h;Events;;44775;545;Onvertaald;Hoog;
test.inc;data\scripts\test.inc;Overig;;44316;2144;Onvertaald;Hoog;
object_event_anims.h;src\data\object_events\object_event_anims.h;Events;;43294;1591;Onvertaald;Hoog;
scripts.inc;data\maps\BattleFrontier_BattleDomeBattleRoom\scripts.inc;Battle;;42815;1182;Onvertaald;Hoog;
